id,user_id,title,description,due_date,completed,completed_at,created_at,updated_at
a5df69d3-5a5e-4124-a229-f0ce44474dac,c040d727-c8f5-4093-8e58-5e5d7b4deae6,Hearing,,2026-05-18,f,,2026-05-18 11:28:16.25385+00,2026-05-18 11:28:16.25385+00
f09c5a77-3889-450d-ba1e-53abe3fd5b7b,c040d727-c8f5-4093-8e58-5e5d7b4deae6,📖,,2026-05-18,f,,2026-05-18 11:28:25.134816+00,2026-05-18 11:28:25.134816+00
47d1c227-b0aa-4b43-8b31-b37b2bc1fde3,c040d727-c8f5-4093-8e58-5e5d7b4deae6,Coding react day 1,,2026-05-18,f,,2026-05-18 11:28:49.864171+00,2026-05-18 11:28:49.864171+00
16eb3a6b-f78d-4f02-9fb2-19e14d0faa40,c040d727-c8f5-4093-8e58-5e5d7b4deae6,React 2,,2026-05-18,f,,2026-05-18 11:28:58.505849+00,2026-05-18 11:28:58.505849+00
0186ad33-f9b7-4486-84e4-52d59281da72,c040d727-c8f5-4093-8e58-5e5d7b4deae6,Sadhna report submission,,2026-05-18,f,,2026-05-18 11:29:18.2637+00,2026-05-18 11:29:18.2637+00
